"noun_en","item","1","2","Diff"
"cake","1",5.80952380952381,3.26315789473684,2.54636591478697
"chair","10",6.57894736842105,1.9047619047619,4.67418546365915
"table","11",6.80952380952381,4.42105263157895,2.38847117794486
"couch","12",6.36842105263158,2.85714285714286,3.51127819548872
"bird","13",6.47619047619048,3,3.47619047619048
"dog","14",6.10526315789474,3.0952380952381,3.01002506265664
"fish","15",6.61904761904762,3.31578947368421,3.30325814536341
"horse","16",6.52631578947368,2.9047619047619,3.62155388471178
"cookie","2",5.8421052631579,3.71428571428571,2.12781954887218
"bread","3",5.57142857142857,2.15789473684211,3.41353383458647
"car","4",6.05263157894737,1.9047619047619,4.14786967418546
"truck","5",5.57142857142857,2.52631578947368,3.04511278195489
"bus","6",6.42105263157895,3.33333333333333,3.08771929824561
"coat","7",6.47619047619048,3.63157894736842,2.84461152882206
"shoe","8",5.94736842105263,2.80952380952381,3.13784461152882
"hat","9",6.76190476190476,3.36842105263158,3.39348370927318
